ID,Local,KM,Estaca,Categoria,Disciplina,Responsável,Status,Termino_Prev,Status_Prazo,Classificacao_Escopo,Exibir_Dashboard,Pendência,Observações,Status_Executivo,Cor_Web,Tag_Web,Prioridade
PL-24,VLI,KM 03,E160,Telecom,Telecom,CCPS,Não iniciado,,Sem Planejamento,Fora_escopo,SIM,Informar a Vale o término das atividades e liberar para reposicionar a fibra óptica da Vale no poste.,Sem restrição,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-25,VLI,KM 03,E160,Civil,Civil,CCPS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Termino de montagem de RIP RAP lado Pátio 6.,Sem restrição,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-26,VLI,KM 03,E160,Civil,Civil,CCPS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Início de Montagem de RIP RAP Lado MRB.,Sem restrição,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-27,VLI,KM 03,E160,Civil,Civil,CCPS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Refazer estrada MRB removendo o caminho seguro e refazer aleira da estrada.,Sem restrição,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-28,VLI,KM 03,E160,Civil,Civil,CCPS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Desmobilização - remover gelo baiano,Sem restrição,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-29,VLI,KM 03,E160,Fechamento,Mecânica,CCPS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Montagem de flange cego na derivação da adutora,2 valvulas - 1 patio 6 & 1 MRB,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-30,Rejeitoduto,KM 04,E201 - E250,Fechamento,Mecânica,CCPS,Concluído,05/30/2026,Concluído,Executar,SIM,Revestimento de 27 juntas (recuperação),"Retrabalha em execução no KM 4 | Realizado 14, faltam 8 Galpão de testemunha (conclusão km 04) - TOTAL DE JUNTA: 165",OK,#2e7d32,OK,3
PL-31,Patrag,KM 06,E315,SPDA / Aterramento,Elétrica,CCPS/IEC,Não iniciado,,Sem Planejamento,Fora_escopo,SIM,Interligação do leito de anodo para retificador 1 - Mineroduto,"Falta material de interligação entre Leito e retificador. Está com a Parex, Freire estava conversando com Luis Gonzaga (Parex), e ficou de enviar lista dos materias.",MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-32,-,KM 06 - KM 08,E315 - E463,SPDA / Aterramento,Elétrica,Construsol,Não iniciado,,Sem Planejamento,Aguardando_definicao,SIM,Alimentação dos Retificadores,Em processo de aquisição de materiais e planejamento para início das atividade,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-33,Soledade,KM 07,E351 - E400,Civil,Civil,CCPS,Concluído,05/30/2026,Concluído,Executar,SIM,Desmontagem passagem córrego soledade,"Deverá ser realizado após todas as atividades, incluindo drenagem",OK,#2e7d32,OK,3
PL-34,Soledade,KM 07,E351 - E400,Telecom,Telecom,CCPS,Não Iniciado,,Sem Planejamento,Fora_escopo,SIM,Lançamento microduto na MG-443,Definir método não construtivo para lançamento do microduto,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-35,Soledade,KM 07,E368 - E369,Telecom,Telecom,CCPS,Concluído,05/30/2026,Concluído,Executar,SIM,Lançamento de microduto abaixo da travessia,Aprox. 40m. Falta definição quanto forma de execução,OK,#2e7d32,OK,3
PL-36,Soledade,KM 07,E372,SPDA / Aterramento,Elétrica,CCPS/IEC,Não iniciado,,Sem Planejamento,Fora_escopo,SIM,Montagem Leito de anodo 3,"Falta material. Está com a Parex, Freire estava conversando com Luis Gonzaga (Parex), e ficou de enviar lista dos materias.",MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-37,Soledade,KM 07,E372,SPDA / Aterramento,Elétrica,CCPS/IEC,Não iniciado,,Sem Planejamento,Fora_escopo,SIM,Montagem do retificardor 3,"Falta material. Está com a Parex, Freire estava conversando com Luis Gonzaga (Parex), e ficou de enviar lista dos materias.",MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-38,Soledade,KM 07,E376,Telecom,Telecom,CCPS/TECNEXUS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Limpeza e emenda do microduto,Sem restrição,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-39,Soledade,KM 07,E377 - E383,Civil,Civil,CCPS,Não iniciado,,Sem Planejamento,Fora_escopo,SIM,Recomposição de canaleta de drenagem - aterro,Sem restrição,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-40,Soledade,KM 07,E378,Fechamento,Mecânica,CCPS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Retirada de 1 niple de sacrificio e Montagem do niple de ajuste,Atividade pos testes e chegada do niple (29.05),MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-41,Soledade,KM 07,E379 - E383,Civil,Civil,CCPS,Não iniciado,,Sem Planejamento,Fora_escopo,SIM,Remoção off set de 1 metro do talude,Sem restrição,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-42,Soledade,KM 07,E383 - E385,Telecom,Telecom,CCPS,Concluído,05/30/2026,Concluído,Executar,SIM,Adequação do microduto sobre a estrutura da adutora,Sem restrição,OK,#2e7d32,OK,3
PL-43,Soledade,KM 07,E383 - E385,Acabamento,Pintura,CCPS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Retoque de pintura de estrutura,Sem restrição,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-44,Soledade,KM 07,E383 - E385,Fechamento,Mecânica,CCPS,Concluído,05/30/2026,Concluído,Executar,SIM,Colocação de borracha e aperto dos grampos da estrutura na tubulação,Sem restrição,OK,#2e7d32,OK,3
PL-45,Soledade,KM 07,E386,Civil,Civil,CCPS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Recomposição do talude da cerca,Sem restrição,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-46,Soledade,KM 07,E386,Civil,Civil,CCPS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Recomposição da cerca/passeio/poste de iluminação e retirada de bloqueio,Sem restrição,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-47,Soledade,KM 07,E389,Telecom,Telecom,CCPS/TECNEXUS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Limpeza e emenda do microduto,Sem restrição,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-48,-,KM 08,E443,Telecom,Telecom,CCPS,Não Iniciado,,Sem Planejamento,Fora_escopo,SIM,Lançamento microduto na MG-443,Definir método não construtivo para lançamento do microduto,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
